MaSV,HoTen,Diem
SV1640,Tran Thi S0,5.66
SV1641,Le Van S1,4.94
SV1642,Nguyen Van S2,7.91
SV1643,Tran Thi S3,4.55
SV1644,Le Van S4,8.28
SV1645,Nguyen Van S5,4.61
SV1646,Tran Thi S6,4.89
SV1647,Le Van S7,9.61
SV1648,Nguyen Van S8,4.61
SV1649,Tran Thi S9,6.44
SV1650,Le Van S0,8.68
SV1651,Nguyen Van S1,8.8
SV1652,Tran Thi S2,5.62
SV1653,Le Van S3,6.09
SV1654,Nguyen Van S4,5
SV1655,Tran Thi S5,7.26
SV1656,Le Van S6,9.48
SV1657,Nguyen Van S7,8
SV1658,Tran Thi S8,6.63
SV1659,Le Van S9,4.72
SV1660,Nguyen Van S0,9.09
SV1661,Tran Thi S1,8.27
SV1662,Le Van S2,6.67
SV1663,Nguyen Van S3,9.19
SV1664,Tran Thi S4,5.99
SV1665,Le Van S5,9.91
SV1666,Nguyen Van S6,4.14
SV1667,Tran Thi S7,4.79
SV1668,Le Van S8,9.52
SV1669,Nguyen Van S9,6.45
SV1670,Tran Thi S0,8.13
SV1671,Le Van S1,5.43
SV1672,Nguyen Van S2,4.07
SV1673,Tran Thi S3,5.33
SV1674,Le Van S4,9.78
SV1675,Nguyen Van S5,7.64
SV1676,Tran Thi S6,4.99
SV1677,Le Van S7,9.96
SV1678,Nguyen Van S8,7.09
SV1679,Tran Thi S9,5.43
SV1680,Le Van S0,9.14
SV1681,Nguyen Van S1,5.25
SV1682,Tran Thi S2,9.83
SV1683,Le Van S3,4.22
SV1684,Nguyen Van S4,4.08
SV1685,Tran Thi S5,9.76
SV1686,Le Van S6,5.79
SV1687,Nguyen Van S7,8.14
SV1688,Tran Thi S8,4.45
SV1689,Le Van S9,7.89
SV1690,Nguyen Van S0,8.64
SV1691,Tran Thi S1,8.4
SV1692,Le Van S2,6.13
SV1693,Nguyen Van S3,8.42
SV1694,Tran Thi S4,8.44
SV1695,Le Van S5,7.73
SV1696,Nguyen Van S6,8.5
SV1697,Tran Thi S7,6.66
SV1698,Le Van S8,9.42
SV1699,Nguyen Van S9,9.18
SV1700,Tran Thi S0,8.51
SV1701,Le Van S1,5.06
SV1702,Nguyen Van S2,8.56
SV1703,Tran Thi S3,5.54
SV1704,Le Van S4,7.95
SV1705,Nguyen Van S5,6.78
SV1706,Tran Thi S6,9.45
SV1707,Le Van S7,7.04
SV1708,Nguyen Van S8,8.74
SV1709,Tran Thi S9,4.22
SV1710,Le Van S0,4.95
SV1711,Nguyen Van S1,8.29
SV1712,Tran Thi S2,6.02
SV1713,Le Van S3,5.57
SV1714,Nguyen Van S4,7.44
SV1715,Tran Thi S5,9.57
SV1716,Le Van S6,7.73
SV1717,Nguyen Van S7,4.95
SV1718,Tran Thi S8,5.93
SV1719,Le Van S9,4.79
SV1720,Nguyen Van S0,4.24
SV1721,Tran Thi S1,4.82
SV1722,Le Van S2,7.18
SV1723,Nguyen Van S3,7.9
SV1724,Tran Thi S4,7.82
SV1725,Le Van S5,8.34
SV1726,Nguyen Van S6,4.69
SV1727,Tran Thi S7,5.66
SV1728,Le Van S8,9.49
SV1729,Nguyen Van S9,5.49
SV1730,Tran Thi S0,4.57
SV1731,Le Van S1,8.58
SV1732,Nguyen Van S2,5.82
SV1733,Tran Thi S3,9.4
SV1734,Le Van S4,5.02
SV1735,Nguyen Van S5,4
SV1736,Tran Thi S6,9.03
SV1737,Le Van S7,8.13
SV1738,Nguyen Van S8,6.59
SV1739,Tran Thi S9,8.46
SV1740,Le Van S0,6.3
SV1741,Nguyen Van S1,4.83
SV1742,Tran Thi S2,8.82
SV1743,Le Van S3,8.2
SV1744,Nguyen Van S4,7.58
SV1745,Tran Thi S5,9.1
SV1746,Le Van S6,5.17
SV1747,Nguyen Van S7,5.85
SV1748,Tran Thi S8,7.49
SV1749,Le Van S9,4.94
SV1750,Nguyen Van S0,4.19
SV1751,Tran Thi S1,7.21
SV1752,Le Van S2,8.25
SV1753,Nguyen Van S3,4.76
SV1754,Tran Thi S4,7.87
SV1755,Le Van S5,7.6
SV1756,Nguyen Van S6,5.57
SV1757,Tran Thi S7,9.76
SV1758,Le Van S8,4
SV1759,Nguyen Van S9,4.98
SV1760,Tran Thi S0,7.94
SV1761,Le Van S1,7.67
SV1762,Nguyen Van S2,5.32
SV1763,Tran Thi S3,9.87
SV1764,Le Van S4,6.58
SV1765,Nguyen Van S5,8.04
SV1766,Tran Thi S6,5.03
SV1767,Le Van S7,9.59
SV1768,Nguyen Van S8,7.17
SV1769,Tran Thi S9,9.05
SV1770,Le Van S0,4.07
SV1771,Nguyen Van S1,9.4
SV1772,Tran Thi S2,9.52
SV1773,Le Van S3,9.89
SV1774,Nguyen Van S4,4.8
SV1775,Tran Thi S5,5.76
SV1776,Le Van S6,8.8
SV1777,Nguyen Van S7,7.12
SV1778,Tran Thi S8,8.87
SV1779,Le Van S9,5.7
SV1780,Nguyen Van S0,9.47
SV1781,Tran Thi S1,5.17
SV1782,Le Van S2,5.01
SV1783,Nguyen Van S3,5.92
SV1784,Tran Thi S4,9.95
SV1785,Le Van S5,9.74
SV1786,Nguyen Van S6,8.66
SV1787,Tran Thi S7,5.75
SV1788,Le Van S8,9.99
SV1789,Nguyen Van S9,9.17
SV1790,Tran Thi S0,7.54
SV1791,Le Van S1,9.82
SV1792,Nguyen Van S2,7.57
SV1793,Tran Thi S3,7.58
SV1794,Le Van S4,5.47
SV1795,Nguyen Van S5,5.69
SV1796,Tran Thi S6,5.34
SV1797,Le Van S7,9.02
SV1798,Nguyen Van S8,4.75
SV1799,Tran Thi S9,6.36
SV1800,Le Van S0,5.09
SV1801,Nguyen Van S1,4.61
SV1802,Tran Thi S2,8.25
SV1803,Le Van S3,4.93
SV1804,Nguyen Van S4,8.95
SV1805,Tran Thi S5,6.17
SV1806,Le Van S6,4.67
SV1807,Nguyen Van S7,7.73
SV1808,Tran Thi S8,5.99
SV1809,Le Van S9,9.76
SV1810,Nguyen Van S0,5.12
SV1811,Tran Thi S1,4.71
SV1812,Le Van S2,5.28
SV1813,Nguyen Van S3,9.25
SV1814,Tran Thi S4,6.59
SV1815,Le Van S5,8.2
SV1816,Nguyen Van S6,7.85
SV1817,Tran Thi S7,5.45
SV1818,Le Van S8,9.99
SV1819,Nguyen Van S9,5.37
SV1820,Tran Thi S0,7.02
SV1821,Le Van S1,4.84
SV1822,Nguyen Van S2,9.13
SV1823,Tran Thi S3,6.46
SV1824,Le Van S4,7.68
SV1825,Nguyen Van S5,7.53
SV1826,Tran Thi S6,4.4
SV1827,Le Van S7,9.29
SV1828,Nguyen Van S8,4.7
SV1829,Tran Thi S9,4.65
SV1830,Le Van S0,6.93
SV1831,Nguyen Van S1,5.29
SV1832,Tran Thi S2,9.9
SV1833,Le Van S3,6.38
SV1834,Nguyen Van S4,5.92
SV1835,Tran Thi S5,9.84
SV1836,Le Van S6,8.34
SV1837,Nguyen Van S7,9.62
SV1838,Tran Thi S8,4.9
SV1839,Le Van S9,4.98
SV1840,Nguyen Van S0,8.06
SV1841,Tran Thi S1,4.1
SV1842,Le Van S2,6.6
SV1843,Nguyen Van S3,4.38
SV1844,Tran Thi S4,5.67
SV1845,Le Van S5,9.53
SV1846,Nguyen Van S6,5.94
SV1847,Tran Thi S7,9.38
SV1848,Le Van S8,4.55
SV1849,Nguyen Van S9,4.71
SV1850,Tran Thi S0,8.57
SV1851,Le Van S1,6.12
SV1852,Nguyen Van S2,7.81
SV1853,Tran Thi S3,8.37
SV1854,Le Van S4,5.49
SV1855,Nguyen Van S5,9.17
SV1856,Tran Thi S6,6.42
SV1857,Le Van S7,7.05
SV1858,Nguyen Van S8,5.07
SV1859,Tran Thi S9,6.45
SV1860,Le Van S0,8.4
SV1861,Nguyen Van S1,7.15
SV1862,Tran Thi S2,4.04
SV1863,Le Van S3,4.75
SV1864,Nguyen Van S4,5.19
SV1865,Tran Thi S5,6.16
SV1866,Le Van S6,8.44
SV1867,Nguyen Van S7,9.15
SV1868,Tran Thi S8,7.34
SV1869,Le Van S9,5.49
SV1870,Nguyen Van S0,9.95
SV1871,Tran Thi S1,9.2
SV1872,Le Van S2,4.71
SV1873,Nguyen Van S3,4.2
SV1874,Tran Thi S4,9.1
SV1875,Le Van S5,6.36
SV1876,Nguyen Van S6,9.55
SV1877,Tran Thi S7,4.84
SV1878,Le Van S8,5.74
SV1879,Nguyen Van S9,4.05
SV1880,Tran Thi S0,6.66
SV1881,Le Van S1,4.28
SV1882,Nguyen Van S2,4.92
SV1883,Tran Thi S3,7.16
SV1884,Le Van S4,5.34
SV1885,Nguyen Van S5,7.2
SV1886,Tran Thi S6,9.05
SV1887,Le Van S7,9.33
SV1888,Nguyen Van S8,8.92
SV1889,Tran Thi S9,7.72
SV1890,Le Van S0,4.5
SV1891,Nguyen Van S1,7.19
SV1892,Tran Thi S2,4.22
SV1893,Le Van S3,4.68
SV1894,Nguyen Van S4,5.48
SV1895,Tran Thi S5,5.87
SV1896,Le Van S6,4.32
SV1897,Nguyen Van S7,6.12
SV1898,Tran Thi S8,8.41
SV1899,Le Van S9,7.7
SV1900,Nguyen Van S0,7.55
SV1901,Tran Thi S1,4.85
SV1902,Le Van S2,5.15
SV1903,Nguyen Van S3,6.87
SV1904,Tran Thi S4,8.6
SV1905,Le Van S5,4.33
SV1906,Nguyen Van S6,6.51
SV1907,Tran Thi S7,7.89
SV1908,Le Van S8,6.8
SV1909,Nguyen Van S9,6.61
SV1910,Tran Thi S0,9.19
SV1911,Le Van S1,5.47
SV1912,Nguyen Van S2,5.3
SV1913,Tran Thi S3,4
SV1914,Le Van S4,6.72
SV1915,Nguyen Van S5,5.3
SV1916,Tran Thi S6,7.62
SV1917,Le Van S7,9.12
SV1918,Nguyen Van S8,8.2
SV1919,Tran Thi S9,4.74
SV1920,Le Van S0,6.45
SV1921,Nguyen Van S1,7.5
SV1922,Tran Thi S2,7.53
SV1923,Le Van S3,9.67
SV1924,Nguyen Van S4,9.02
SV1925,Tran Thi S5,6.86
SV1926,Le Van S6,8.25
SV1927,Nguyen Van S7,7.8
SV1928,Tran Thi S8,5.01
SV1929,Le Van S9,4.57
SV1930,Nguyen Van S0,4.71
SV1931,Tran Thi S1,9.26
SV1932,Le Van S2,9.23
SV1933,Nguyen Van S3,7.56
SV1934,Tran Thi S4,8.35
SV1935,Le Van S5,7.05
SV1936,Nguyen Van S6,5.56
SV1937,Tran Thi S7,9.37
SV1938,Le Van S8,5.75
SV1939,Nguyen Van S9,7.47
SV1940,Nguyen Van S0,7.74
SV1941,Tran Thi S1,9.31
SV1942,Le Van S2,6.17
SV1943,Nguyen Van S3,4.36
SV1944,Tran Thi S4,6.41
SV1945,Le Van S5,7.23
SV1946,Nguyen Van S6,4.73
SV1947,Tran Thi S7,5.2
SV1948,Le Van S8,6.55
SV1949,Nguyen Van S9,7.46
SV1950,Tran Thi S0,4.74
SV1951,Le Van S1,8.68
SV1952,Nguyen Van S2,8.28
SV1953,Tran Thi S3,6.01
SV1954,Le Van S4,7.66
SV1955,Nguyen Van S5,5.58
SV1956,Tran Thi S6,4.42
SV1957,Le Van S7,9.46
SV1958,Nguyen Van S8,5.2
SV1959,Tran Thi S9,9.07
SV1960,Le Van S0,7.03
SV1961,Nguyen Van S1,9.21
SV1962,Tran Thi S2,7.63
SV1963,Le Van S3,8.81
SV1964,Nguyen Van S4,8.49
SV1965,Tran Thi S5,4.29
SV1966,Le Van S6,9.89
SV1967,Nguyen Van S7,9.25
SV1968,Tran Thi S8,6.64
SV1969,Le Van S9,4.28
SV1970,Nguyen Van S0,6.73
SV1971,Tran Thi S1,6.77
SV1972,Le Van S2,7.12
SV1973,Nguyen Van S3,4.98
SV1974,Tran Thi S4,5.52
SV1975,Le Van S5,7.9
SV1976,Nguyen Van S6,8.06
SV1977,Tran Thi S7,7.13
SV1978,Le Van S8,7.07
SV1979,Nguyen Van S9,9.89
SV1980,Tran Thi S0,6.74
SV1981,Le Van S1,5.59
SV1982,Nguyen Van S2,4.13
SV1983,Tran Thi S3,9.81
SV1984,Le Van S4,9.85
SV1985,Nguyen Van S5,7.55
SV1986,Tran Thi S6,5.06
SV1987,Le Van S7,7.78
SV1988,Nguyen Van S8,4.53
SV1989,Tran Thi S9,9.06
SV1990,Le Van S0,8.8
SV1991,Nguyen Van S1,6.97
SV1992,Tran Thi S2,5.62
SV1993,Le Van S3,9.14
SV1994,Nguyen Van S4,8.48
SV1995,Tran Thi S5,5.78
SV1996,Le Van S6,8.14
SV1997,Nguyen Van S7,8.01
SV1998,Tran Thi S8,9.22
SV1999,Le Van S9,7.47
SV2000,Nguyen Van S0,5.14
SV2001,Tran Thi S1,4.44
SV2002,Le Van S2,5.42
SV2003,Nguyen Van S3,8.52
SV2004,Tran Thi S4,4.49
SV2005,Le Van S5,4.75
SV2006,Nguyen Van S6,7.11
SV2007,Tran Thi S7,6.28
SV2008,Le Van S8,8.67
SV2009,Nguyen Van S9,6.68
SV2010,Tran Thi S0,4.1
SV2011,Le Van S1,6.2
SV2012,Nguyen Van S2,7.45
SV2013,Tran Thi S3,6.12
SV2014,Le Van S4,5.46
SV2015,Nguyen Van S5,9.79
SV2016,Tran Thi S6,5.81
SV2017,Le Van S7,6.94
SV2018,Nguyen Van S8,6.12
SV2019,Tran Thi S9,5.71
SV2020,Le Van S0,7.62
SV2021,Nguyen Van S1,5.86
SV2022,Tran Thi S2,5.6
SV2023,Le Van S3,4.84
SV2024,Nguyen Van S4,4.07
SV2025,Tran Thi S5,4.42
SV2026,Le Van S6,7.29
SV2027,Nguyen Van S7,5.43
SV2028,Tran Thi S8,8.07
SV2029,Le Van S9,8.94
SV2030,Nguyen Van S0,4.96
SV2031,Tran Thi S1,4.22
SV2032,Le Van S2,7.44
SV2033,Nguyen Van S3,7.72
SV2034,Tran Thi S4,5.26
SV2035,Le Van S5,9.14
SV2036,Nguyen Van S6,8.16
SV2037,Tran Thi S7,4.16
SV2038,Le Van S8,9.31
SV2039,Nguyen Van S9,8.57
SV2040,Tran Thi S0,4.5
SV2041,Le Van S1,6.52
SV2042,Nguyen Van S2,6.77
SV2043,Tran Thi S3,4.33
SV2044,Le Van S4,6.19
SV2045,Nguyen Van S5,9.02
SV2046,Tran Thi S6,6.27
SV2047,Le Van S7,9.79
SV2048,Nguyen Van S8,7.74
SV2049,Tran Thi S9,4.94
SV2050,Le Van S0,4.36
SV2051,Nguyen Van S1,4.72
SV2052,Tran Thi S2,4.45
SV2053,Le Van S3,6.09
SV2054,Nguyen Van S4,8.85
SV2055,Tran Thi S5,5.82
SV2056,Le Van S6,9.79
SV2057,Nguyen Van S7,5.28
SV2058,Tran Thi S8,6.58
SV2059,Le Van S9,4.79
SV2060,Nguyen Van S0,9.44
SV2061,Tran Thi S1,7.84
SV2062,Le Van S2,6.53
SV2063,Nguyen Van S3,8.65
SV2064,Tran Thi S4,8.78
SV2065,Le Van S5,4.1
SV2066,Nguyen Van S6,6.3
SV2067,Tran Thi S7,4.4
SV2068,Le Van S8,9.85
SV2069,Nguyen Van S9,9.84
SV2070,Tran Thi S0,8.89
SV2071,Le Van S1,6.17
SV2072,Nguyen Van S2,8.61
SV2073,Tran Thi S3,4.97
SV2074,Le Van S4,4.57
SV2075,Nguyen Van S5,9.45
SV2076,Tran Thi S6,8.4
SV2077,Le Van S7,5.04
SV2078,Nguyen Van S8,7.42
SV2079,Tran Thi S9,8.39
SV2080,Le Van S0,9.55
SV2081,Nguyen Van S1,4.41
SV2082,Tran Thi S2,5.95
SV2083,Le Van S3,4.9
SV2084,Nguyen Van S4,8.45
SV2085,Tran Thi S5,7.48
SV2086,Le Van S6,4.98
SV2087,Nguyen Van S7,4.3
SV2088,Tran Thi S8,6.12
SV2089,Le Van S9,5.52
SV2090,Nguyen Van S0,7.74
SV2091,Tran Thi S1,7.38
SV2092,Le Van S2,8.89
SV2093,Nguyen Van S3,6.95
SV2094,Tran Thi S4,4.8
SV2095,Le Van S5,6.75
SV2096,Nguyen Van S6,9.23
SV2097,Tran Thi S7,4.22
SV2098,Le Van S8,5.67
SV2099,Nguyen Van S9,4.38
SV2100,Tran Thi S0,4
SV2101,Le Van S1,9.32
SV2102,Nguyen Van S2,5.4
SV2103,Tran Thi S3,9.2
SV2104,Le Van S4,7.78
SV2105,Nguyen Van S5,5.13
SV2106,Tran Thi S6,5.36
SV2107,Le Van S7,9.74
SV2108,Nguyen Van S8,8.69
SV2109,Tran Thi S9,7.35
SV2110,Le Van S0,7.37
SV2111,Nguyen Van S1,4.76
SV2112,Tran Thi S2,9.78
SV2113,Le Van S3,6.83
SV2114,Nguyen Van S4,6.83
SV2115,Tran Thi S5,5.66
SV2116,Le Van S6,9.12
SV2117,Nguyen Van S7,5.42
SV2118,Tran Thi S8,4.43
SV2119,Le Van S9,8.11
SV2120,Nguyen Van S0,7.86
SV2121,Tran Thi S1,7.49
SV2122,Le Van S2,9.18
SV2123,Nguyen Van S3,8.94
SV2124,Tran Thi S4,6.83
SV2125,Le Van S5,6.84
SV2126,Nguyen Van S6,9.95
SV2127,Tran Thi S7,5.32
SV2128,Le Van S8,6.42
SV2129,Nguyen Van S9,8.42
SV2130,Tran Thi S0,9.19
SV2131,Le Van S1,8.3
SV2132,Nguyen Van S2,9.8
SV2133,Tran Thi S3,4.19
SV2134,Le Van S4,8.89
SV2135,Nguyen Van S5,5.44
SV2136,Tran Thi S6,6.69
SV2137,Le Van S7,8.83
SV2138,Nguyen Van S8,6.45
SV2139,Tran Thi S9,4.34
SV2140,Le Van S0,5.11
SV2141,Nguyen Van S1,6.74
SV2142,Tran Thi S2,6.69
SV2143,Le Van S3,7.24
SV2144,Nguyen Van S4,4.51
SV2145,Tran Thi S5,5.7
SV2146,Le Van S6,4.98
SV2147,Nguyen Van S7,9.91
SV2148,Tran Thi S8,4.66
SV2149,Le Van S9,6.26
SV2150,Nguyen Van S0,8.74
SV2151,Tran Thi S1,7.73
SV2152,Le Van S2,5.78
SV2153,Nguyen Van S3,4.43
SV2154,Tran Thi S4,5.44
SV2155,Le Van S5,5.66
SV2156,Nguyen Van S6,6.34
SV2157,Tran Thi S7,8.36
SV2158,Le Van S8,8.15
SV2159,Nguyen Van S9,7.6
SV2160,Tran Thi S0,6.15
SV2161,Le Van S1,4.8
SV2162,Nguyen Van S2,7.55
SV2163,Tran Thi S3,6.57
SV2164,Le Van S4,4.36
SV2165,Nguyen Van S5,8.25
SV2166,Tran Thi S6,4.09
SV2167,Le Van S7,6.89
SV2168,Nguyen Van S8,9.55
SV2169,Tran Thi S9,8.03
SV2170,Le Van S0,9.64
SV2171,Nguyen Van S1,8.69
SV2172,Tran Thi S2,5.63
SV2173,Le Van S3,6.62
SV2174,Nguyen Van S4,7.14
SV2175,Tran Thi S5,5.14
SV2176,Le Van S6,6.75
SV2177,Nguyen Van S7,9.02
SV2178,Tran Thi S8,9.42
SV2179,Le Van S9,5.05
SV2180,Nguyen Van S0,4.51
SV2181,Tran Thi S1,7.1
SV2182,Le Van S2,9.12
SV2183,Nguyen Van S3,4.88
SV2184,Tran Thi S4,4.67
SV2185,Le Van S5,6.41
SV2186,Nguyen Van S6,5.58
SV2187,Tran Thi S7,8.65
SV2188,Le Van S8,5.09
SV2189,Nguyen Van S9,5.64
SV2190,Tran Thi S0,4.27
SV2191,Le Van S1,4.52
SV2192,Nguyen Van S2,4.11
SV2193,Tran Thi S3,5.21
SV2194,Le Van S4,5.35
SV2195,Nguyen Van S5,7.63
SV2196,Tran Thi S6,4.7
SV2197,Le Van S7,6.32
SV2198,Nguyen Van S8,4.67
SV2199,Tran Thi S9,6.01
SV2200,Le Van S0,9.43
SV2201,Nguyen Van S1,9.66
SV2202,Tran Thi S2,4.22
SV2203,Le Van S3,8.26
SV2204,Nguyen Van S4,4.28
SV2205,Tran Thi S5,8.96
SV2206,Le Van S6,8.13
SV2207,Nguyen Van S7,6.47
SV2208,Tran Thi S8,6.61
SV2209,Le Van S9,7.65
SV2210,Nguyen Van S0,9.49
SV2211,Tran Thi S1,9.29
SV2212,Le Van S2,9.43
SV2213,Nguyen Van S3,6.35
SV2214,Tran Thi S4,6.12
SV2215,Le Van S5,4.37
SV2216,Nguyen Van S6,7.32
SV2217,Tran Thi S7,6.3
SV2218,Le Van S8,6.13
SV2219,Nguyen Van S9,6.15
SV2220,Tran Thi S0,5.15
SV2221,Le Van S1,9
SV2222,Nguyen Van S2,6.92
SV2223,Tran Thi S3,9.86
SV2224,Le Van S4,5.27
SV2225,Nguyen Van S5,9.73
SV2226,Tran Thi S6,5.36
SV2227,Le Van S7,4.66
SV2228,Nguyen Van S8,8.91
SV2229,Tran Thi S9,8.16
SV2230,Le Van S0,9.46
SV2231,Nguyen Van S1,6.41
SV2232,Tran Thi S2,7.98
SV2233,Le Van S3,8.84
SV2234,Nguyen Van S4,6.97
SV2235,Tran Thi S5,7.09
SV2236,Le Van S6,8.14
SV2237,Nguyen Van S7,5.97
SV2238,Tran Thi S8,7.3
SV2239,Le Van S9,6.6
SV2240,Nguyen Van S0,7.99
SV2241,Tran Thi S1,5.41
SV2242,Le Van S2,8.82
SV2243,Nguyen Van S3,6.77
SV2244,Tran Thi S4,7.06
SV2245,Le Van S5,4.72
SV2246,Nguyen Van S6,4.56
SV2247,Tran Thi S7,4.81
SV2248,Le Van S8,4.09
SV2249,Nguyen Van S9,5.08
SV2250,Tran Thi S0,5.85
SV2251,Le Van S1,8.05
SV2252,Nguyen Van S2,5.22
SV2253,Tran Thi S3,4.1
SV2254,Le Van S4,7.41
SV2255,Nguyen Van S5,5.55
SV2256,Tran Thi S6,7.81
SV2257,Le Van S7,6.31
SV2258,Nguyen Van S8,8.91
SV2259,Tran Thi S9,4.03
SV2260,Le Van S0,8.13
SV2261,Nguyen Van S1,9.99
SV2262,Tran Thi S2,5.64
SV2263,Le Van S3,4.92
SV2264,Nguyen Van S4,4.56
SV2265,Tran Thi S5,8.82
SV2266,Le Van S6,5.45
SV2267,Nguyen Van S7,9.71
SV2268,Tran Thi S8,7
SV2269,Le Van S9,5.3
SV2270,Nguyen Van S0,6.68
SV2271,Tran Thi S1,9.7
SV2272,Le Van S2,9.91
SV2273,Nguyen Van S3,6.39
SV2274,Tran Thi S4,6.23
SV2275,Le Van S5,7.11
SV2276,Nguyen Van S6,5.31
SV2277,Tran Thi S7,8.91
SV2278,Le Van S8,7.42
SV2279,Nguyen Van S9,6.09
SV2280,Tran Thi S0,4.7
SV2281,Le Van S1,6.63
SV2282,Nguyen Van S2,4.22
SV2283,Tran Thi S3,9.09
SV2284,Le Van S4,6.52
SV2285,Nguyen Van S5,9.18
SV2286,Tran Thi S6,9.54
SV2287,Le Van S7,9.15
SV2288,Nguyen Van S8,7.09
SV2289,Tran Thi S9,7.73
SV2290,Le Van S0,9.98
SV2291,Nguyen Van S1,4.43
SV2292,Tran Thi S2,4.2
SV2293,Le Van S3,4.39
SV2294,Nguyen Van S4,4.74
SV2295,Tran Thi S5,5.04
SV2296,Le Van S6,4.56
SV2297,Nguyen Van S7,6.28
SV2298,Tran Thi S8,6.44
SV2299,Le Van S9,4.76
SV2300,Nguyen Van S0,9.01
SV2301,Tran Thi S1,6.89
SV2302,Le Van S2,7.86
SV2303,Nguyen Van S3,6.56
SV2304,Tran Thi S4,4.46
SV2305,Le Van S5,9.58
SV2306,Nguyen Van S6,6.35
SV2307,Tran Thi S7,6.04
SV2308,Le Van S8,4.42
SV2309,Nguyen Van S9,5.04
SV2310,Tran Thi S0,6.03
SV2311,Le Van S1,7.11
SV2312,Nguyen Van S2,9.91
SV2313,Tran Thi S3,4.84
SV2314,Le Van S4,5.22
SV2315,Nguyen Van S5,9.71
SV2316,Tran Thi S6,8.63
SV2317,Le Van S7,8.85
SV2318,Nguyen Van S8,8.23
SV2319,Tran Thi S9,5.12
SV2320,Le Van S0,6.73
SV2321,Nguyen Van S1,6.68
SV2322,Tran Thi S2,4.5
SV2323,Le Van S3,4.36
SV2324,Nguyen Van S4,6.08
SV2325,Tran Thi S5,6.37
SV2326,Le Van S6,6.7
SV2327,Nguyen Van S7,9.38
SV2328,Tran Thi S8,5.48
SV2329,Le Van S9,8.07
SV2330,Nguyen Van S0,9.63
SV2331,Tran Thi S1,5.84
SV2332,Le Van S2,5.6
SV2333,Nguyen Van S3,4.43
SV2334,Tran Thi S4,6.47
SV2335,Le Van S5,5.33
SV2336,Nguyen Van S6,6.26
SV2337,Tran Thi S7,6.01
SV2338,Le Van S8,8.95
SV2339,Nguyen Van S9,5.24
SV2340,Tran Thi S0,9.24
SV2341,Le Van S1,5.04
SV2342,Nguyen Van S2,6.52
SV2343,Tran Thi S3,7.93
SV2344,Le Van S4,8.46
SV2345,Nguyen Van S5,7.05
SV2346,Tran Thi S6,9.29
SV2347,Le Van S7,5.48
SV2348,Nguyen Van S8,7.58
SV2349,Tran Thi S9,8.3
SV2350,Le Van S0,7.44
SV2351,Nguyen Van S1,7.42
SV2352,Tran Thi S2,8.7
SV2353,Le Van S3,9.68
SV2354,Nguyen Van S4,9.17
SV2355,Tran Thi S5,4.73
SV2356,Le Van S6,8.25
SV2357,Nguyen Van S7,6.35
SV2358,Tran Thi S8,4.13
SV2359,Le Van S9,5.13
SV2360,Nguyen Van S0,6.78
SV2361,Tran Thi S1,9.39
SV2362,Le Van S2,5.28
SV2363,Nguyen Van S3,7.05
SV2364,Tran Thi S4,8.14
SV2365,Le Van S5,8.33
SV2366,Nguyen Van S6,8.68
SV2367,Tran Thi S7,8.42
SV2368,Le Van S8,6.01
SV2369,Nguyen Van S9,8.83
SV2370,Tran Thi S0,4.74
SV2371,Le Van S1,4.86
SV2372,Nguyen Van S2,5.03
SV2373,Tran Thi S3,5.15
SV2374,Le Van S4,4.65
SV2375,Nguyen Van S5,8.29
SV2376,Tran Thi S6,9.99
SV2377,Le Van S7,6.11
SV2378,Nguyen Van S8,6.59
SV2379,Tran Thi S9,9.29
SV2380,Le Van S0,5.25
SV2381,Nguyen Van S1,6.28
SV2382,Tran Thi S2,8.34
SV2383,Le Van S3,9.53
SV2384,Nguyen Van S4,9.99
SV2385,Tran Thi S5,8.8
SV2386,Le Van S6,5.21
SV2387,Nguyen Van S7,4.1
SV2388,Tran Thi S8,7.53
SV2389,Le Van S9,8.23
SV2390,Nguyen Van S0,4.07
SV2391,Tran Thi S1,6.48
SV2392,Le Van S2,9.23
SV2393,Nguyen Van S3,8.74
SV2394,Tran Thi S4,6.77
SV2395,Le Van S5,8.46
SV2396,Nguyen Van S6,5.75
SV2397,Tran Thi S7,5.96
SV2398,Le Van S8,9.45
SV2399,Nguyen Van S9,5.39
SV2400,Tran Thi S0,4.69
SV2401,Le Van S1,8.44
SV2402,Nguyen Van S2,7.37
SV2403,Tran Thi S3,6.45
SV2404,Le Van S4,7.15
SV2405,Nguyen Van S5,8.47
SV2406,Tran Thi S6,9.04
SV2407,Le Van S7,8.45
SV2408,Nguyen Van S8,7.61
SV2409,Tran Thi S9,7.42
SV2410,Le Van S0,4.68
SV2411,Nguyen Van S1,9.29
SV2412,Tran Thi S2,8.53
SV2413,Le Van S3,9.43
SV2414,Nguyen Van S4,8.05
SV2415,Tran Thi S5,9.52
SV2416,Le Van S6,4.59
SV2417,Nguyen Van S7,6.43
SV2418,Tran Thi S8,6.67
SV2419,Le Van S9,4.19
SV2420,Nguyen Van S0,6.61
SV2421,Tran Thi S1,6.1
SV2422,Le Van S2,7.39
SV2423,Nguyen Van S3,6.63
SV2424,Tran Thi S4,5.13
SV2425,Le Van S5,9.6
SV2426,Nguyen Van S6,8.63
SV2427,Tran Thi S7,5.1
SV2428,Le Van S8,9.38
SV2429,Nguyen Van S9,4.99
SV2430,Tran Thi S0,8.51
SV2431,Le Van S1,6.37
